FECHA DE APERTURA,DIA DE APERTURA,FISICA,VERBAL,ECONOMICA,PSICOLOGICA,SEXUAL,GENERO M/F VICTIMA,EDAD_VICTIMA_NUM,GENERO AGRESOR M/F,EDAD_AGRESOR_NUM,PARENTESCO FRENTE A LA VICTIMA,COMUNA DE LA VICTIMA,TOTAL_ABUSE_TYPES,IS_INTRAFAMILIAL,IS_MULTIDIMENSIONAL,HAS_PSYCHOLOGICAL,SEVERITY_LEVEL
2022-08-20T00:00:00.000,domingo,no,si,no,no,no,femenino,7.0,femenino/masculino,,padres,comuna7,1,False,False,False,Low
2022-08-26T00:00:00.000,martes,no,si,no,si,no,femenino,9.0,masculino,,padrastro,no aplica,2,False,True,True,Medium
2022-08-26T00:00:00.000,viernes,si,si,no,no,no,femenino,8.0,femenino,,madre,comuna6,2,True,True,False,Medium
2022-08-31T00:00:00.000,miercoles,si,no,no,si,no,masculino,4.0,femenino,,madre,comuna7,2,True,True,True,Medium
2022-08-31T00:00:00.000,miercoles,no,no,no,si,no,femenino,6.0,femenino,25.0,madre,comuna5,1,True,False,True,Low
2022-08-31T00:00:00.000,miercoles,no,no,no,no,no,masculino,3.0,femenino,25.0,madre,comuna5,0,True,False,False,Low
2022-08-31T00:00:00.000,miercoles,no,no,si,si,no,femenino,10.0,femenino,32.0,madre,comuna4,2,True,True,True,Medium
2022-08-23T00:00:00.000,martes,si,si,no,si,no,masculino,14.0,masculino,,padre,comuna7,3,True,True,True,High
2022-08-08T00:00:00.000,lunes,si,si,no,si,no,femenino,47.0,femenino,,madre,comuna7,3,True,True,True,High
2022-08-02T00:00:00.000,martes,si,si,no,si,no,masculino,6.0,masculino,,padrastro,comuna7,3,False,True,True,High
2022-09-27T00:00:00.000,martes,si,si,no,si,no,masculino,14.0,masculino,,madre,comuna2,3,True,True,True,High
2022-09-27T00:00:00.000,martes,si,si,no,si,no,femenino,3.0,masculino,,madre,comuna2,3,True,True,True,High
2022-09-27T00:00:00.000,martes,si,si,no,si,no,masculino,13.0,femenino,,madre,comuna1,3,True,True,True,High
2022-09-27T00:00:00.000,martes,si,no,no,si,no,femenino,17.0,femenino,,madre,comuna1,2,True,True,True,Medium
2022-09-27T00:00:00.000,martes,si,no,no,si,no,masculino,9.0,femenino,,madre,comuna1,2,True,True,True,Medium
2022-09-27T00:00:00.000,martes,si,no,no,si,no,femenino,14.0,masculino,,padre,comuna1,2,True,True,True,Medium
2022-09-27T00:00:00.000,martes,si,si,no,si,no,masculino,14.0,masculino,,hermano(a),comuna1,3,False,True,True,High
2022-09-04T00:00:00.000,domingo,si,si,no,si,no,femenino,14.0,masculino,,padre,comuna3,3,True,True,True,High
2022-09-07T00:00:00.000,miercoles,si,si,no,si,no,masculino,11.0,femenino,,madre,comuna7,3,True,True,True,High
2022-09-10T00:00:00.000,sabado,si,si,no,si,no,masculino,12.0,masculino,,padre,no aplica,3,True,True,True,High
2022-09-10T00:00:00.000,sabado,no,si,no,si,si,masculino,2.0,masculino,,padre,comuna7,3,True,True,True,High
2022-09-13T00:00:00.000,martes,no,no,no,si,si,masculino,8.0,femenino,,madre,comuna7,2,True,True,True,Medium
2022-09-07T00:00:00.000,miercoles,si,si,no,si,no,masculino,16.0,masculino,,abuelo(a),no aplica,3,False,True,True,High
2022-09-07T00:00:00.000,miercoles,si,si,no,si,no,masculino,7.0,masculino,,madre,comuna5,3,True,True,True,High
2022-09-19T00:00:00.000,lunes,si,si,no,si,no,masculino,10.0,femenino,,madre,comuna7,3,True,True,True,High
2022-09-21T00:00:00.000,viernes,no,si,no,si,no,femenino,16.0,femenino,,madre,no aplica,2,True,True,True,Medium
2022-09-07T00:00:00.000,miercoles,si,si,no,si,no,masculino,8.0,femenino,,madre,comuna5,3,True,True,True,High
2022-09-22T00:00:00.000,jueves,si,si,no,si,no,femenino,7.0,femenino,,madre,comuna3,3,True,True,True,High
2022-09-22T00:00:00.000,jueves,si,si,no,si,no,masculino,9.0,femenino,,madre,comuna3,3,True,True,True,High
2022-09-13T00:00:00.000,martes,si,si,no,si,no,femenino,11.0,femenino,,abuelo(a),comuna7,3,False,True,True,High
2022-09-30T00:00:00.000,viernes,si,si,no,si,no,masculino,5.0,masculino,,padre,comuna3,3,True,True,True,High
2022-09-08T00:00:00.000,jueves,si,si,no,si,no,masculino,13.0,masculino,58.0,padre,comuna10,3,True,True,True,High
